timestamp_ms,direction,msg_id,dlc,b0,b1,b2,b3,b4,b5,b6,b7
16200,TX,0x101,6,C9,00,EA,00,00,00,CC,CC
16200,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
16400,TX,0x100,8,6E,00,B3,03,82,0F,77,03
16400,TX,0x101,6,C8,00,EB,00,00,00,CC,CC
16400,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
16600,TX,0x100,8,72,00,B2,03,8A,0F,73,03
16600,TX,0x101,6,C7,00,EA,00,00,00,CC,CC
16600,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
16800,TX,0x100,8,76,00,B1,03,84,0F,85,03
16800,TX,0x101,6,C6,00,EF,00,00,00,CC,CC
16800,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
17000,TX,0x100,8,7A,00,B0,03,7F,0F,92,03
17000,TX,0x101,6,C4,00,EF,00,00,00,CC,CC
17000,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
17200,TX,0x100,8,7E,00,AF,03,8B,0F,9B,03
17200,TX,0x101,6,C8,00,EC,00,00,00,CC,CC
17200,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
17400,TX,0x100,8,82,00,AD,03,87,0F,A8,03
17400,TX,0x101,6,C3,00,EE,00,00,00,CC,CC
17400,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
17600,TX,0x100,8,85,00,AC,03,89,0F,A0,03
17600,TX,0x101,6,C5,00,F0,00,00,00,CC,CC
17600,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
17800,TX,0x100,8,89,00,AB,03,83,0F,A5,03
17800,TX,0x101,6,C7,00,F4,00,00,00,CC,CC
17800,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
18000,TX,0x100,8,8C,00,AA,03,7C,0F,AB,03
18000,TX,0x101,6,C7,00,F2,00,00,00,CC,CC
18000,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
18200,TX,0x100,8,8E,00,A9,03,82,0F,B0,03
18200,TX,0x101,6,C6,00,FC,00,00,00,CC,CC
18200,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
18400,TX,0x100,8,92,00,A7,03,7C,0F,B9,03
18400,TX,0x101,6,C6,00,F7,00,00,00,CC,CC
18400,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
18600,TX,0x100,8,94,00,A6,03,7D,0F,C6,03
18600,TX,0x101,6,CA,00,F9,00,00,00,CC,CC
18600,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
18800,TX,0x100,8,9D,00,A5,03,78,0F,E2,03
18800,TX,0x101,6,C6,00,FC,00,00,00,CC,CC
18800,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
19000,TX,0x100,8,A6,00,A3,03,80,0F,FE,03
19000,TX,0x101,6,C9,00,F6,00,00,00,CC,CC
19000,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
19200,TX,0x100,8,AD,00,A2,03,77,0F,16,04
19200,TX,0x101,6,C9,00,F8,00,00,00,CC,CC
19200,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
19400,TX,0x100,8,B5,00,A1,03,75,0F,23,04
19400,TX,0x101,6,CC,00,F9,00,00,00,CC,CC
19400,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
19600,TX,0x100,8,BC,00,9F,03,80,0F,50,04
19600,TX,0x101,6,CB,00,FE,00,00,00,CC,CC
19600,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
19800,TX,0x100,8,C2,00,9E,03,80,0F,62,04
19800,TX,0x101,6,C8,00,FD,00,00,00,CC,CC
19800,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
20000,TX,0x100,8,CA,00,9C,03,7A,0F,77,04
20000,TX,0x101,6,CB,00,02,01,00,00,CC,CC
20000,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
20200,TX,0x100,8,CF,00,9B,03,7B,0F,86,04
20200,TX,0x101,6,C9,00,01,01,00,00,CC,CC
20200,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
20400,TX,0x100,8,D5,00,99,03,89,0F,94,04
20400,TX,0x101,6,C9,00,03,01,00,00,CC,CC
20400,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
20600,TX,0x100,8,DC,00,98,03,79,0F,96,04
20600,TX,0x101,6,C8,00,05,01,00,00,CC,CC
20600,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
20800,TX,0x100,8,E1,00,96,03,71,0F,BF,04
20800,TX,0x101,6,C2,00,0B,01,00,00,CC,CC
20800,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
21000,TX,0x100,8,E6,00,95,03,7D,0F,BC,04
21000,TX,0x101,6,C8,00,05,01,00,00,CC,CC
21000,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
21200,TX,0x100,8,EB,00,93,03,72,0F,DA,04
21200,TX,0x101,6,C6,00,0F,01,00,00,CC,CC
21200,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
21400,TX,0x100,8,F0,00,92,03,78,0F,DD,04
21400,TX,0x101,6,CA,00,11,01,00,00,CC,CC
21400,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
21600,TX,0x100,8,F4,00,90,03,7C,0F,D3,04
21600,TX,0x101,6,C5,00,12,01,00,00,CC,CC
21600,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
21800,TX,0x100,8,F8,00,8F,03,6C,0F,EA,04
21800,TX,0x101,6,C7,00,12,01,00,00,CC,CC
21800,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
22000,TX,0x100,8,FC,00,8D,03,75,0F,E8,04
22000,TX,0x101,6,C6,00,13,01,00,00,CC,CC
22000,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
22200,TX,0x100,8,01,01,8B,03,6E,0F,FE,04
22200,TX,0x101,6,C6,00,17,01,00,00,CC,CC
22200,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
22400,TX,0x100,8,04,01,8A,03,6C,0F,14,05
22400,TX,0x101,6,CE,00,1F,01,00,00,CC,CC
22400,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
22600,TX,0x100,8,08,01,88,03,6E,0F,05,05
22600,TX,0x101,6,C6,00,1B,01,00,00,CC,CC
